time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-05T16:24:11.280Z,-8.2572,124.8125,4.24,5.1,mb,,47,1.583,1.11,us,us10003uwi,2015-11-05T16:40:11.632Z,"90km WNW of Dili, East Timor",earthquake
2015-11-05T14:27:15.985Z,38.9495,-118.1443,10.4,3.2,ml,71,69.91,0.105,0.2516,nn,nn00517795,2015-11-05T15:06:07.766Z,"21km WNW of Gabbs, Nevada",earthquake
2015-11-05T14:27:11.620Z,19.4298325,-155.6105042,2.51,2.87,ml,51,46,0.02307,0.37,hv,hv61091321,2015-11-05T14:33:34.695Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake
2015-11-05T14:01:09.000Z,19.4981,-66.1313,66,3.4,Md,15,262.8,1.08246992,0.55,pr,pr15309003,2015-11-05T14:33:55.815Z,"114km N of San Juan, Puerto Rico",earthquake
2015-11-05T11:52:49.750Z,4.7998,123.0314,565.21,4.6,mb,,57,3.392,0.65,us,us10003uv8,2015-11-05T12:37:14.644Z,"185km SE of Tabiauan, Philippines",earthquake
2015-11-05T10:58:54.500Z,34.3421667,-118.4661667,3.29,3.48,ml,141,12,0.041,0.25,ci,ci37485624,2015-11-05T16:43:56.341Z,"7km NNW of Pacoima, California",earthquake
2015-11-05T10:42:03.700Z,18.8955,-67.6784,11,2.8,Md,8,226.8,0.54258243,0.62,pr,pr15309002,2015-11-05T12:15:57.272Z,"75km NW of Aguadilla, Puerto Rico",earthquake
2015-11-05T09:57:13.592Z,41.8597,-119.5931,8.9,2.8,ml,8,106.84,0.177,0.1993,nn,nn00517774,2015-11-05T10:36:19.737Z,"72km ESE of Lakeview, Oregon",earthquake
2015-11-05T08:58:42.000Z,66.4878,-155.8206,51.6,2.8,ml,,,,1.21,ak,ak11773659,2015-11-05T09:30:27.248Z,"66km SE of Kobuk, Alaska",earthquake
2015-11-05T08:23:05.160Z,32.1354,140.8998,65.43,5.3,mb,,74,1.339,0.72,us,us10003uuj,2015-11-05T16:44:17.040Z,"147km SE of Hachijo-jima, Japan",earthquake
2015-11-05T04:52:01.000Z,61.2744,-146.6023,25.8,2.5,ml,,,,0.76,ak,ak11773238,2015-11-05T12:54:38.104Z,"21km NW of Valdez, Alaska",earthquake
2015-11-05T02:45:54.000Z,64.8965,-150.3378,17.5,2.5,ml,,,,0.65,ak,ak11773026,2015-11-05T10:48:28.763Z,"18km SE of Manley Hot Springs, Alaska",earthquake
2015-11-05T01:59:22.690Z,56.1771,162.3176,54.59,5.2,mb,,97,3.812,0.92,us,us10003ut4,2015-11-05T10:02:02.537Z,"11km WSW of Ust'-Kamchatsk Staryy, Russia",earthquake
2015-11-05T01:28:45.610Z,-30.7354,-71.502,37.53,4.1,mb,,70,0.13,0.77,us,us10003ut1,2015-11-05T09:31:12.430Z,"32km WSW of Ovalle, Chile",earthquake
2015-11-05T01:19:33.700Z,19.2208,-67.1285,23,2.9,Md,3,356.4,0.74919495,0.07,pr,pr15309001,2015-11-05T09:22:12.796Z,"80km N of Isabela, Puerto Rico",earthquake
2015-11-05T00:26:42.900Z,19.0368,-67.9383,25,3.1,Md,11,324,0.7815343,0.38,pr,pr15309000,2015-11-05T08:29:18.716Z,"70km NE of Punta Cana, Dominican Republic",earthquake
2015-11-05T00:13:36.000Z,63.0936,-151.4871,11.8,2.7,ml,,,,0.78,ak,ak11772524,2015-11-05T08:16:05.829Z,"111km NW of Talkeetna, Alaska",earthquake
2015-11-05T00:12:23.540Z,36.5163,70.3132,194.99,4,mb,,92,0.643,0.86,us,us10003usp,2015-11-05T02:43:40.628Z,"41km E of Farkhar, Afghanistan",earthquake
2015-11-04T23:58:49.400Z,18.995,-67.7561,38,3,Md,13,237.6,0.76177136,0.3,pr,pr15308010,2015-11-05T08:01:25.545Z,"82km NE of Punta Cana, Dominican Republic",earthquake
2015-11-04T23:51:11.200Z,19.1819,-67.7975,54,3.3,Md,14,252,0.86328099,0.31,pr,pr15308011,2015-11-05T07:53:39.886Z,"92km NE of Punta Cana, Dominican Republic",earthquake
2015-11-04T23:11:10.570Z,35.8818,-97.3732,7.22,2.5,mb_lg,,65,0.107,0.36,us,us10003us3,2015-11-05T07:13:38.288Z,"4km E of Guthrie, Oklahoma",earthquake
2015-11-04T22:57:37.670Z,32.1178333,-115.058,21.12,3.4,ml,19,129,0.1852,0.26,ci,ci37485376,2015-11-05T01:24:53.040Z,"10km SSW of Estacion Coahuila, B.C., MX",earthquake
2015-11-04T22:54:54.470Z,37.7781667,-121.9638333,9.24,3.1,mw,119,52,0.01215,0.11,nc,nc72548525,2015-11-05T16:00:53.902Z,"1km E of San Ramon, California",earthquake
2015-11-04T21:55:15.500Z,35.8551,-97.353,5.098,2.6,ml,,57,,0.5,us,us10003uqw,2015-11-05T01:02:11.553Z,"7km ESE of Guthrie, Oklahoma",earthquake
2015-11-04T20:57:41.800Z,19.0268,-65.0645,33,2.5,Md,3,327.6,0.74470337,0.27,pr,pr15308009,2015-11-05T05:00:41.430Z,"77km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-11-04T20:44:50.580Z,-9.1311,119.0622,107.36,4.3,mb,,89,3.176,0.98,us,us20004226,2015-11-05T04:47:19.781Z,"35km N of Padedemanu, Indonesia",earthquake
2015-11-04T18:47:42.520Z,-8.5827,125.0881,54.59,4.4,mb,,54,1.419,0.95,us,us20004213,2015-11-05T02:50:34.615Z,"53km W of Dili, East Timor",earthquake
