N,Generations,time,fitness,Max Fitness,Quality
8,250,39.47357273,26,28,93%
8,500,80.05716062,27,28,96%
8,750,120.4408755,27,28,96%
8,1000,158.3203669,27,28,96%
12,250,84.98205233,63,66,95%
12,500,172.4776516,63,66,95%
12,750,249.4324906,64,66,97%
12,1000,334.5609729,63,66,95%
16,250,143.1667199,114,120,95%
16,500,288.0581672,116,120,97%
16,750,440.192523,114,120,95%
16,1000,577.1119008,111,120,93%
20,250,230.9174659,178,190,94%
20,500,467.3652499,179,190,94%
20,750,691.28778,175,190,92%
20,1000,993.6744473,181,190,95%
